Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
Pt27	0.0204019839591707	0	0.0481169882527142	0.00234922530205699	0.0110632063812729	0.0276173157264936	0.0399455984609489	0	0	0.01292716942369	0.0166687899163694	0	0.0824953285592798	0.0216265420089204	0.00249562673523607	0.137780553002989	0.00509836477882599	0	0.0090325301509388	0	0.00521009213485618	0.0583944061132785	9999	0.175553683242922	1.01893477719505	0.501223720907042
Pt28	0.0161968186377565	0	0.0806978886814871	0.0515687854285623	0	0.0340750723430636	0.00805263965211902	0.0180649444350137	0	0.0346177518583028	0	0.0153827193931491	0	0.0192913761098665	0.0276837183439717	0.106514649645056	0.00285067465389631	0	0.00157453073038328	0	0	0	9999	0.109119388902031	1.03680013229584	0.416571569912628
Pt29	0.0138210487160283	0	0.0495178964456426	0.00246233175567364	0	0.0443952840743742	0.00625084561573172	0.00294776967081489	0	0	0	0.00363268983855247	0.00124184463271853	0	0.0237203293098604	0.18121905191073	0.0998096637846296	0	0.0110231148498095	0	0	0.0017469325194344	9999	0.306678189320046	0.964217510779778	0.441788803124001
Pt3	0.00464221756905789	0	0	0	0	0.0248522656547354	0	0.00585835328581246	0	0	0.0072382563672236	0	0.0134048793284632	0.0117011829737528	0.0121665826895743	0.0508274962859409	0.0265408308077077	0	0	0.0459518415754589	0	0.0320533566383438	9999	0.120732765748906	1.06289378709888	0.235237263176071
Pt30	0.0217795081666579	0	0.00751097181508022	0.0210312726073791	0	0.0210804718042555	0.00428549050137977	0.0280835334526749	8.57529825007483e-05	0.00155973077052749	0	0.000957478601005535	0.00701240083681915	0.020476556952407	0.0249444584215545	0.0506575736901282	0.0175952701631774	0	0	0	0	0	9999	0.0954188349427689	1.04832465292115	0.227060470765547
Pt31	0.00706409047666842	0	0.0933403442414577	0.00160239437283839	0	0.156764864350739	0.0121469666407348	0.0045083540924464	0.00688902284348359	0.0137292141836208	0	0	0.0145330820896721	0	0.089206977450686	0.147733870071707	0.012225691338973	0	0	0	0	0	9999	0.344867515596317	0.942874557846972	0.559744872153028
Pt34	0.00115055529753921	0	0.00407794213271864	0.0830354057905338	0	0	0.0148572977375889	0.00748641998676211	0.00905052182851126	0.0199755183696225	0	0	0	0.0747515181099393	0.0195585256391394	0.356834023437286	0.00691722014703108	0	0.00183961825949546	0	0	0	9999	0.446818856653967	0.902615490995366	0.599534566736168
Pt36	0.00306294805107949	0	0	0.00655618457971716	0	0.0335191444479563	0	0	0	0	0.00631340742331942	0	0.0125429310706154	0	9.58365922045947e-05	0.319607505213656	0.00152927446005833	0	0.0447468057393738	0	0	0.00763932198554792	9999	0.446953186470477	0.90744126487288	0.435613359563528
Pt37	0.00357968957543111	0	0.00267226225800517	0.0215064471567077	0	0.0514292832936572	0.0058133510968152	0.023832565791628	0.000643476456680381	0	0.00150613621870097	0.00432669797907386	0.00322279051309745	0.00746824873911482	0.0300413195991184	0.102767011736245	0.0288057743945226	0	0.0365909597362117	0	0	0.000919834015490402	9999	0.0300846244508878	1.07413023099424	0.3251258485605
Pt38	5.44318612086505e-05	0	0.00247852813056973	0.00265096419538307	0	0.0114706535299797	0	0.00267388987706515	0.000121430214614371	0	0	0.00359727832025121	0.00212941546461641	0	0	0.0682667405646022	0	0	0.015445713386563	0	0	0	9999	0.0310002073538445	1.11740989151578	0.108889045544854
